wavelength,absorption
280,1.5481057206561024
285,1.5303049797709396
290,1.5125042388857768
295,1.494703498000614
300,1.476902757115451
305,1.4591020162302881
310,1.441301275345125
315,1.4235005344599623
320,1.4056997935747995
325,1.3878990526896366
330,1.3700983118044736
335,1.3522975709193108
340,1.3344968300341478
345,1.316696089148985
350,1.2988953482638221
355,1.2810946073786593
360,1.2632938664934963
365,1.2454931256083335
370,1.2276923847231704
375,1.2098916438380076
380,1.1920909029528448
385,1.1742901620676818
390,1.156489421182519
395,1.1386886802973561
400,1.1208879394121931
405,1.1030871985270303
410,1.0852864576418675
415,1.0674857167567045
420,1.0496849758715416
425,1.0318842349863786
430,1.0140834941012158
435,0.996282753216053
440,0.97848201233089
445,0.9619943720087074
450,0.94341900271207
455,0.9183879578300403
460,0.8953067308688608
465,0.8827282506783435
470,0.8693860768132818
475,0.8550075579739573
480,0.8406290391346329
485,0.8288370155384949
490,0.8175884978356319
495,0.8097871087458723
500,0.8041666584326846
505,0.8027008869295351
510,0.8075424191091969
515,0.821715568963095
520,0.8438686299455068
525,0.8562714990429366
530,0.8201586603762436
535,0.7310792992710643
540,0.6512962991260753
545,0.5916720356738818
550,0.5487841473463642
555,0.5106144531637932
560,0.48106005521068174
565,0.4621780272613806
570,0.44141840953307365
575,0.4089965345330736
580,0.3882346772635703
585,0.3676318403841378
590,0.35196961830368867
595,0.33703708457055515
600,0.322753210341388
605,0.3095748038748753
610,0.2963963974083626
615,0.2809027540749843
620,0.26472341684301554
625,0.2485440796110468
630,0.2323647423790781
635,0.21618540514710935
640,0.20000606791514064
645,0.1838267306831719
650,0.16764739345120316
655,0.15146805621923445
660,0.13528871898726572
665,0.119109381755297
670,0.10293004452332827
675,0.08675070729135956
680,0.07057137005939082
685,0.05439203282742208
690,0.03821269559545337
695,0.022033358363484634
700,0.005854021131515896
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
