wavelength,emission
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0.002314815
420,0.012345679
425,0.022376543
430,0.032407407
435,0.064814815
440,0.116402116
445,0.171296296
450,0.231481481
455,0.300411523
460,0.398491084
465,0.492798354
470,0.586419753
475,0.710802469
480,0.799220273
485,0.845679012
490,0.892137752
495,0.921436588
500,0.936026936
505,0.950617284
510,0.960998878
515,0.948232323
520,0.935465769
525,0.922699214
530,0.885459534
535,0.840877915
540,0.796296296
545,0.750440917
550,0.704585538
555,0.665123457
560,0.626823793
565,0.58852413
570,0.547901235
575,0.504567901
580,0.461234568
585,0.417901235
590,0.380658436
595,0.347222222
600,0.313786008
605,0.286284252
610,0.259861488
615,0.233438723
620,0.207015959
625,0.180593195
630,0.154170431
635,0.131944444
640,0.113315697
645,0.094686949
650,0.076058201
655,0.057429453
660,0.038800705
665,0.020171958
670,0.00154321
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,0
900,0
905,0
910,0
915,0
920,0
925,0
930,0
935,0
940,0
945,0
950,0
955,0
960,0
965,0
970,0
975,0
980,0
985,0
990,0
995,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1060,0
1065,0
1070,0
1075,0
1080,0
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1460,0
1465,0
1470,0
1475,0
1480,0
1485,0
1490,0
1495,0
1500,0
