wavelength,emission
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,1978.2393669634844
555,8941.641938674646
560,15905.044510385807
565,24344.55648607077
570,34271.064775252125
575,44197.57306443347
580,61520.31696305189
585,88764.39694093814
590,116008.4769188244
595,153152.6847315268
600,197500.249975002
605,241847.8152184772
610,314485.92177347327
615,388482.6092495854
620,438180.3251765476
625,478341.0138248847
630,502672.81105990784
635,533003.5945363048
640,573998.5621854778
645,635140.4011461309
650,713547.3113797404
655,790579.4080867014
660,965581.3953488364
665,1033867.3399127836
670,1078132.3589118957
675,1118148.5992691834
680,1084763.4947134117
685,1042648.8592097942
690,998511.6279069766
695,924837.209302326
700,831850.1170960197
705,718883.7209302324
710,645209.3023255813
715,570246.5498526902
720,496636.81592039776
725,440597.01492537296
730,378756.5368971532
735,316478.6285184762
740,283451.8707286001
745,250425.11293872388
750,217398.3551488477
755,184371.5973589716
760,161921.53722978398
765,145951.4278089141
770,129981.3183880442
775,114408.08634572593
780,99030.32379647106
785,83652.56124721617
790,72145.9854014599
795,63153.2846715329
800,54160.5839416059
805,45167.8832116789
810,36175.1824817519
815,27182.481751824904
820,19028.02597742241
825,16266.399337488652
830,13504.772697554894
835,10743.146057621134
840,7981.519417687374
845,5219.892777753614
850,2458.2661378198536
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
