wavelength,absorption
280,0.01231359
285,0.011907911
290,0.011502231
295,0.011096552
300,0.010690872
305,0.010285193
310,0.009879513
315,0.009473834
320,0.009068154
325,0.008662475
330,0.008256795
335,0.007851116
340,0.007445436
345,0.007039757
350,0.006634077
355,0.006228398
360,0.005822718
365,0.005417039
370,0.004973591
375,0.004528487
380,0.00422004
385,0.003920937
390,0.003595747
395,0.003275895
400,0.003024796
405,0.002773697
410,0.002522599
415,0.002368345
420,0.002223669
425,0.002078993
430,0.001948025
435,0.001833543
440,0.001719061
445,0.001604579
450,0.001512209
455,0.001420759
460,0.00132931
465,0.00123786
470,0.001172376
475,0.001125236
480,0.001078096
485,0.001030955
490,0.000983815
495,0.000936675
500,0.000893331
505,0.000863292
510,0.000833253
515,0.000803214
520,0.000773175
525,0.000743136
530,0.000713097
535,0.000683954
540,0.000655505
545,0.000627055
550,0.000598606
555,0.000570156
560,0.000541707
565,0.000513257
570,0.000493972
575,0.000482682
580,0.000471393
585,0.000460104
590,0.000448815
595,0.000437525
600,0.000426236
605,0.000414947
610,0.000403658
615,0.000389341
620,0.000373573
625,0.000357805
630,0.000342037
635,0.000326269
640,0.000310501
645,0.000294249
650,0.000277032
655,0.000259814
660,0.000242596
665,0.000225379
670,0.000208161
675,0.000192004
680,0.000176801
685,0.000161599
690,0.000146397
695,0.000131195
700,0.000115993
705,0.000100791
710,9.05351e-05
715,8.05511e-05
720,7.05671e-05
725,6.05831e-05
730,5.0599e-05
735,4.0615e-05
740,3.0631e-05
745,2.0647e-05
750,1.06629e-05
755,6.79e-07
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
