wavelength,emission
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,0.0
555,0.0
560,0.0
565,0.0
570,0.0
575,0.0
580,0.0
585,0.0
590,0.0
595,0.0
600,0.0
605,0.0
610,0.0
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,1.4210885329156792e-06
660,3.709186113567286e-06
665,5.997283694218894e-06
670,8.285381274870502e-06
675,1.057347885552211e-05
680,1.2861576436173716e-05
685,1.5149674016825326e-05
690,1.7437771597476934e-05
695,1.972586917812854e-05
700,2.2013966758780147e-05
705,2.430206433943176e-05
710,2.6590161920083364e-05
715,3.176815725734171e-05
720,3.75235656705468e-05
725,4.327897408375187e-05
730,4.903438249695695e-05
735,5.478979091016204e-05
740,6.452971649431156e-05
745,7.625014706497373e-05
750,8.797057763563592e-05
755,9.96910082062981e-05
760,0.0001114114387769
765,0.0001201572923891
770,0.0001285350806355
775,0.0001369128688819
780,0.0001452906571282
785,0.0001536684453746
790,0.0001626857093768
795,0.0001737744081221
800,0.0001848631068674
805,0.0001949868827592
810,0.0001964949179472
815,0.0001980029531352
820,0.0001995109883231
825,0.0002010190235111
830,0.0002025270586991
835,0.0002040350938871
840,0.000205543129075
845,0.000207051164263
850,0.000208559199451
855,0.000210067234639
860,0.0002063424198706
865,0.0002021456231352
870,0.0001979488263998
875,0.0001937520296645
880,0.0001895552329291
885,0.0001853584361937
890,0.0001811616394584
895,0.0001747356728225
900,0.0001675577084352
905,0.0001603797440479
910,0.0001532017796606
915,0.0001460238152732
920,0.0001388458508859
925,0.000132516815141
930,0.0001270514379324
935,0.0001215860607238
940,0.0001161206835152
945,0.0001106553063065
950,0.0001051899290979
955,9.972455188936346e-05
960,9.385858898560144e-05
965,8.733398050822646e-05
970,8.080937203085148e-05
975,7.42847635534765e-05
980,6.776015507610154e-05
985,6.123554659872656e-05
990,5.471093812135158e-05
995,5.059021535906299e-05
1000,4.820903583054522e-05
1005,4.582785630202745e-05
1010,4.344667677350968e-05
1015,4.10654972449919e-05
1020,3.868431771647413e-05
1025,3.630313818795636e-05
1030,3.392195865943859e-05
1035,3.154077913092082e-05
1040,2.9159599602403044e-05
1045,2.677842007388527e-05
1050,2.43972405453675e-05
1055,2.201606101684973e-05
1060,2.0200517170708426e-05
1065,1.9142768524141e-05
1070,1.8085019877573563e-05
1075,1.702727123100613e-05
1080,1.5969522584438704e-05
1085,1.4911773937871272e-05
1090,1.385402529130384e-05
1095,1.2796276644736411e-05
1100,1.1738527998168982e-05
1105,1.068077935160155e-05
1110,9.62303070503412e-06
1115,8.565282058466691e-06
1120,7.50753341189926e-06
1125,6.44978476533183e-06
1130,5.392036118764401e-06
1135,4.3342874721969695e-06
1140,3.276538825629538e-06
1145,2.2187901790621103e-06
1150,1.161041532494679e-06
1155,1.0329288592724769e-07
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
