wavelength,absorption
280,0.2919075144508666
285,0.274638728323699
290,0.2573699421965315
295,0.2401011560693639
300,0.2228323699421964
305,0.2055635838150288
310,0.1836988304093565
315,0.1611071428571428
320,0.1561267605633803
325,0.1544278169014085
330,0.156125
335,0.1580175
340,0.1598870056497174
345,0.1564971751412429
350,0.1531073446327683
355,0.1444863505747125
360,0.1339353612167299
365,0.1096814903846154
370,0.0935937499999999
375,0.0814229484732824
380,0.0700143129770992
385,0.0564306358381503
390,0.0399534383954155
395,0.0279638252148998
400,0.0209830866807611
405,0.0188623150105708
410,0.0167415433403805
415,0.014869288224956
420,0.0142223198594024
425,0.0135753514938488
430,0.0129283831282952
435,0.0122814147627415
440,0.0116344463971879
445,0.0109874780316343
450,0.0104116465863453
455,0.009914658634538
460,0.0094176706827308
465,0.0089206827309236
470,0.0084236947791164
475,0.0079267068273092
480,0.007429718875502
485,0.0069327309236947
490,0.0064357429718875
495,0.0059387550200803
500,0.0054417670682731
505,0.0049447791164659
510,0.0046835487496488
515,0.0044982790109581
520,0.0043130092722675
525,0.0041277395335768
530,0.0039424697948862
535,0.0037572000561955
540,0.0035719303175049
545,0.0033866605788142
550,0.0
555,0.0
560,0.0
565,0.0
570,0.0
575,0.0
580,0.0
585,0.0
590,0.0
595,0.0
600,0.0
605,0.0
610,0.0
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
