wavelength,emission
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,7507.6659
445,15556.8945
450,23606.1231
455,31655.3517
460,47196.59742
465,75542.65934
470,103888.7213
475,132234.7832
480,181827.0055
485,255995.4658
490,408638.5352
495,639301.7609
500,920236.7597
505,1175994.391
510,1316227.745
515,1387611.983
520,1392474.293
525,1333127.479
530,1273780.665
535,1185325.586
540,1068375.151
545,971814.0483
550,869878.4764
555,776731.9169
560,686555.4321
565,599953.2601
570,523452.4986
575,457018.319
580,396700.4478
585,341807.3069
590,297525.0233
595,253786.4222
600,217701.753
605,189270.7814
610,160839.8098
615,132494.6324
620,116285.7388
625,100076.8452
630,83867.95162
635,67659.05803
640,56475.53301
645,48933.94432
650,41392.35563
655,33850.76694
660,27123.49863
665,24054.22927
670,20984.9599
675,17915.69054
680,14846.42117
685,11777.15181
690,8707.882444
695,6637.691406
700,5373.133667
705,4108.575929
710,2844.018191
715,1650.630907
720,468.4843259
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,0
900,0
905,0
910,0
915,0
920,0
925,0
930,0
935,0
940,0
945,0
950,0
955,0
960,0
965,0
970,0
975,0
980,0
985,0
990,0
995,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1060,0
1065,0
1070,0
1075,0
1080,0
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1460,0
1465,0
1470,0
1475,0
1480,0
1485,0
1490,0
1495,0
1500,0
