wavelength,absorption
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,9.40373316067342e-06
340,0.006100257017384
345,0.0121911103016074
350,0.0182819635858308
355,0.0243728168700542
360,0.0304636701542776
365,0.0385273926879726
370,0.0681537425116684
375,0.0977800923353643
380,0.1274064421590601
385,0.2052319173325257
390,0.3635112828764649
395,0.5229401299176117
400,0.6132338769102612
405,0.6640594610999808
410,0.6983714733240335
415,0.7194374927160504
420,0.720231690201528
425,0.7099651673401893
430,0.6996986444788508
435,0.6894321216175121
440,0.6791655987561734
445,0.6688990758948349
450,0.6625494814320165
455,0.6835814336041406
460,0.7046133857762646
465,0.7256453379483887
470,0.7519589494371649
475,0.7852240422772852
480,0.8184891351174055
485,0.8517542279575258
490,0.8822988814639956
495,0.8972765765612425
500,0.9122542716584892
505,0.927231966755736
510,0.9422096618529828
515,0.9546494778691406
520,0.9528692570213064
525,0.9510890361734724
530,0.9493088153256382
535,0.947528594477804
540,0.94574837362997
545,0.9439681527821356
550,0.9383783638854896
555,0.9321389057002538
560,0.925899447515018
565,0.9196599893297822
570,0.8853477156178112
575,0.843619190639822
580,0.6721730886170684
585,0.5106938898547669
590,0.3127684655048341
595,0.1918194989398687
600,0.1161160867692725
605,0.0866135184428137
610,0.057110950116355
615,0.0287818719741796
620,0.0155735034196572
625,0.0023651348651347
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
