wavelength,absorption
280,1.4980229799999998
285,1.4624499099999997
290,1.4268768399999998
295,1.39130377
300,1.3557306999999998
305,1.3201576299999995
310,1.28458456
315,1.24901149
320,1.21343842
325,1.1778653499999998
330,1.14229228
335,1.10671921
340,1.07114614
345,1.03557307
350,1.0
355,0.96442693
360,0.928853859
365,0.893281
370,0.857707718
375,0.822134648
380,0.786561577
385,0.750988507
390,0.715415437
395,0.679842366
400,0.644269296
405,0.611468926
410,0.584090493
415,0.559617633
420,0.535605059
425,0.510990918
430,0.48603351
435,0.461497534
440,0.438340289
445,0.417043705
450,0.397439164
455,0.379311214
460,0.362463826
465,0.346800514
470,0.33225659
475,0.318767378
480,0.306268206
485,0.294694494
490,0.283985913
495,0.274088006
500,0.264946746
505,0.256508109
510,0.248718066
515,0.241522592
520,0.23486766
525,0.228699244
530,0.222963317
535,0.217605853
540,0.212572825
545,0.207810207
550,0.203264047
555,0.198893451
560,0.194685341
565,0.190630211
570,0.186718555
575,0.182940867
580,0.179287639
585,0.175749365
590,0.172316539
595,0.168979654
600,0.165729203
605,0.162555681
610,0.15944958
615,0.156401395
620,0.153401618
625,0.150440742
630,0.147509262
635,0.144597672
640,0.141696464
645,0.138796131
650,0.135887169
655,0.132960068
660,0.130006199
665,0.127024681
670,0.124018682
675,0.120991409
680,0.117946067
685,0.114885862
690,0.111813998
695,0.10873368
700,0.105648115
705,0.102560507
710,0.099474063
715,0.096391986
720,0.093317483
725,0.090253759
730,0.087204019
735,0.084171577
740,0.081159991
745,0.078172847
750,0.075213735
755,0.072286243
760,0.069393961
765,0.066540476
770,0.063729377
775,0.060964254
780,0.058248694
785,0.055586286
790,0.052980619
795,0.050435429
800,0.047955825
805,0.045547657
810,0.043216782
815,0.040969057
820,0.03881034
825,0.036746489
830,0.034783361
835,0.032926814
840,0.031182705
845,0.029556892
850,0.028055232
855,0.026683583
860,0.025447802
865,0.024353747
870,0.023407275
875,0.022614252
880,0.021989568
885,0.021574288
890,0.021414198
895,3.469446951953614e-18
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
