wavelength,emission
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0.000161062
380,0.00402869
385,0.007896319
390,0.030102525
395,0.15700222
400,0.41202381
405,0.484741852
410,0.349042013
415,0.154089056
420,0.08045155
425,0.044447755
430,0.032585833
435,0.025774618
440,0.018963403
445,0.013329872
450,0.007834612
455,0.002339351
460,0
465,0
470,0
475,0
480,0.000495868
485,0.003323495
490,0.006151122
495,0.008978749
500,0.011806375
505,0.014634002
510,0.017461629
515,0.028850057
520,0.041877276
525,0.055237827
530,0.09056938
535,0.125900934
540,0.17914557
545,0.243825158
550,0.315005546
555,0.396926002
560,0.469460936
565,0.546160612
570,0.632043259
575,0.71947523
580,0.757052193
585,0.787450884
590,0.808438842
595,0.819803965
600,0.805712752
605,0.79162154
610,0.752279741
615,0.708822118
620,0.66020816
625,0.610082601
630,0.555802477
635,0.50137286
640,0.455910565
645,0.410448269
650,0.357826611
655,0.301795493
660,0.261045802
665,0.225234415
670,0.189423028
675,0.164300024
680,0.144449682
685,0.12459934
690,0.105873115
695,0.092590575
700,0.079308036
705,0.066025496
710,0.052804896
715,0.046763752
720,0.040722607
725,0.034681463
730,0.028674171
735,0.024910601
740,0.021147031
745,0.017383461
750,0.013619891
755,0.009856321
760,0.006092751
765,0.002329181
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,0
900,0
905,0
910,0
915,0
920,0
925,0
930,0
935,0
940,0
945,0
950,0
955,0
960,0
965,0
970,0
975,0
980,0
985,0
990,0
995,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1060,0
1065,0
1070,0
1075,0
1080,0
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1460,0
1465,0
1470,0
1475,0
1480,0
1485,0
1490,0
1495,0
1500,0
