wavelength,emission
280,0.0
285,0.0
290,0.0
295,0.0
300,0.0
305,0.0
310,0.0
315,0.0
320,0.0
325,0.0
330,0.0
335,0.0
340,0.0
345,0.0
350,0.0
355,0.0
360,0.0
365,0.0
370,0.0
375,0.0
380,0.0
385,0.0
390,0.0
395,0.0
400,0.0
405,0.0
410,0.0
415,0.0
420,0.0
425,0.0
430,0.0
435,0.0
440,0.0
445,0.0
450,0.0
455,0.0
460,0.0
465,0.0
470,0.0
475,0.0
480,0.0
485,0.0
490,0.0
495,0.0
500,0.0
505,0.0
510,0.0
515,0.0
520,0.0
525,0.0
530,0.0
535,0.0
540,0.0
545,0.0
550,0.0
555,0.0
560,0.0
565,0.0
570,0.0
575,0.0
580,0.0
585,0.0
590,0.0
595,0.0
600,0.0
605,0.0
610,0.0
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0034726759789934216
775,0.007262936581243155
780,0.011053197183492888
785,0.014843457785742621
790,0.018633718387992354
795,0.022423978990242087
800,0.02621423959249182
805,0.030004500194741553
810,0.033794760796991286
815,0.05338536220710069
820,0.07810488536568294
825,0.10282440852426519
830,0.12814668953775285
835,0.17756577171746613
840,0.22698485389717937
845,0.2764039360768926
850,0.3291413328700788
855,0.3820607866047515
860,0.4605313150365217
865,0.5157997954288731
870,0.5674628618818515
875,0.7053372336747306
880,0.7885377509091317
885,0.8367448493357708
890,0.901947755083508
895,0.9501506691077848
900,0.9760738519118254
905,0.986177683918158
910,0.9905888449896084
915,0.9719590372973009
920,0.9533292296049936
925,0.9043503789871663
930,0.8493939915901008
935,0.8003567630264808
940,0.7489896172887515
945,0.6690254142986538
950,0.5875957071549844
955,0.510964169140807
960,0.4408384552956481
965,0.372340980548175
970,0.3230178846477486
975,0.27822334784038505
980,0.24175582410288426
985,0.19239668424304668
990,0.16000611577741494
995,0.13547683889856021
1000,0.11094756201970551
1005,0.0864182851408508
1010,0.06188900826199609
1015,0.03735973138314136
1020,0.012830454504286659
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
