wavelength,absorption
280,98.71030968
285,98.38411226
290,98.05791483
295,97.73171741
300,97.40551998
305,97.07932256
310,96.75312514
315,96.42692771
320,96.10073029
325,95.77453286
330,95.44833544
335,95.12213801
340,94.79594059
345,94.46974317
350,94.14354574
355,93.81734832
360,93.49115089
365,93.16495347
370,92.83875604
375,92.51255862
380,92.18636119
385,91.86016377
390,91.53396635
395,91.20776892
400,90.8815715
405,90.55537407
410,90.22917665
415,89.90297922
420,89.5767818
425,89.25058438
430,88.92438695
435,88.59818953
440,87.97674392
445,87.33957718
450,86.70241044
455,86.0652437
460,85.42807696
465,84.79091022
470,84.15374348
475,83.51657674
480,82.87941
485,81.60964504
490,80.28130672
495,78.95296839
500,77.62463007
505,76.29629175
510,74.96795343
515,73.69223705
520,72.4429942
525,71.19375134
530,69.94450849
535,68.69526564
540,67.44602278
545,66.19677993
550,64.94753708
555,63.37963556
560,61.74198779
565,60.10434003
570,58.46669227
575,56.84200932
580,55.61914334
585,54.39627736
590,53.17341137
595,51.95054539
600,50.72767941
605,49.39826673
610,48.04943648
615,46.70060622
620,45.35177596
625,44.02579666
630,43.06747597
635,42.10915529
640,41.1508346
645,40.19251391
650,39.24020865
655,39.04887122
660,38.85753378
665,38.66619634
670,38.4748589
675,38.28352146
680,38.11284421
685,38.54997111
690,38.98709802
695,39.42422492
700,39.86135182
705,40.29847872
710,40.74268397
715,41.18694952
720,41.63121508
725,42.07548063
730,42.51974619
735,42.96401174
740,43.4082773
745,43.85254285
750,43.43278304
755,42.91592994
760,42.39907685
765,41.88222375
770,41.36537066
775,40.84851756
780,40.33166446
785,39.81481137
790,38.17921642
795,35.97558034
800,33.77194425
805,31.56830817
810,29.36689274
815,27.78149075
820,26.19608876
825,24.61068677
830,23.02528478
835,21.26283466
840,19.16834597
845,17.07385728
850,14.97936858
855,12.88487989
860,11.3691898
865,10.31628367
870,9.263377536
875,8.210471405
880,7.157565275
885,6.104659144
890,5.051753013
895,4.08236013
900,3.777385479
905,3.472410827
910,3.167436176
915,2.862461525
920,2.557486873
925,2.252512222
930,1.94753757
935,1.642562919
940,1.348418379
945,1.176402678
950,1.004386978
955,0.832371277
960,0.660355576
965,0.488339875
970,0.316324175
975,0.144308474
980,0
985,0
990,0
995,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1060,0
1065,0
1070,0
1075,0
1080,0
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1460,0
1465,0
1470,0
1475,0
1480,0
1485,0
1490,0
1495,0
1500,0
