wavelength,emission
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0.008831947
710,0.018204521
715,0.027577094
720,0.03687953
725,0.046084814
730,0.055290098
735,0.064495382
740,0.073700666
745,0.08290595
750,0.092111234
755,0.101316518
760,0.138512354
765,0.175921609
770,0.213330864
775,0.250740118
780,0.283965454
785,0.315872499
790,0.347779544
795,0.389711654
800,0.443781799
805,0.497851944
810,0.547996705
815,0.59723072
820,0.645936203
825,0.681137968
830,0.716339733
835,0.75252559
840,0.7954451
845,0.83836461
850,0.88128412
855,0.920656208
860,0.951523262
865,0.982390316
870,0.988564496
875,0.987771375
880,0.986978255
885,0.986185135
890,0.969863145
895,0.952373632
900,0.927724301
905,0.883773334
910,0.839822367
915,0.7958714
920,0.746743283
925,0.6950739
930,0.643404518
935,0.591735136
940,0.540065754
945,0.486167318
950,0.431927778
955,0.377688237
960,0.340129085
965,0.311005124
970,0.278004938
975,0.241623148
980,0.205241358
985,0.168859569
990,0.1383836
995,0.123806924
1000,0.109230248
1005,0.094653572
1010,0.080076896
1015,0.06550022
1020,0.050923544
1025,0.042966311
1030,0.035828012
1035,0.028689713
1040,0.021551413
1045,0.014413114
1050,0.007274815
1055,0.000136516
1060,0
1065,0
1070,0
1075,0
1080,0
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1460,0
1465,0
1470,0
1475,0
1480,0
1485,0
1490,0
1495,0
1500,0
