wavelength,absorption
280,0.5094664819679469
285,0.4980817063904195
290,0.4866969308128921
295,0.4753121552353648
300,0.4639273796578374
305,0.4525426040803101
310,0.4411578285027827
315,0.4297730529252553
320,0.418388277347728
325,0.4070035017702006
330,0.3956187261926733
335,0.3842339506151459
340,0.3728491750376186
345,0.3614643994600912
350,0.3500796238825638
355,0.3386948483050365
360,0.3273100727275091
365,0.3159252971499818
370,0.3045405215724544
375,0.2931557459949271
380,0.2817709704173997
385,0.2703861948398723
390,0.2595053736065659
395,0.2488751324316775
400,0.2371474408649758
405,0.2210259513923154
410,0.2025413397564154
415,0.1824899425643252
420,0.1697495929400512
425,0.1609531520506223
430,0.153289440385627
435,0.1435129065681163
440,0.1314996357542859
445,0.1196485676768254
450,0.1077974995993648
455,0.0959464315219043
460,0.0840953634444438
465,0.0833712760736977
470,0.0852647628224653
475,0.0843408617443983
480,0.0763819192655354
485,0.0667361762738226
490,0.0588307015944058
495,0.0572670797212343
500,0.0626808016165808
505,0.0777009779994489
510,0.1011184408920411
515,0.1231772667348642
520,0.133143603977392
525,0.1460928529358286
530,0.1583220963595485
535,0.1851177309746531
540,0.2297395571863279
545,0.2770575475783931
550,0.3179663717788232
555,0.3176373487026052
560,0.2716135662255997
565,0.1908664114763267
570,0.1014606597130466
575,0.0496496869987601
580,0.0195695662187926
585,0.0061692517462808
590,0.0
595,0.0
600,0.0
605,0.0
610,0.0
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
