wavelength,absorption
280,0.206203528454245
285,0.205609142843218
290,0.2050147572321909
295,0.2044203716211638
300,0.2038259860101367
305,0.2032316003991096
310,0.2026372147880825
315,0.2020428291770555
320,0.2014484435660284
325,0.2008540579550013
330,0.2002596723439742
335,0.1996652867329471
340,0.1990709011219201
345,0.198476515510893
350,0.1978821298998659
355,0.1972877442888388
360,0.1966933586778117
365,0.1960989730667847
370,0.1955045874557576
375,0.1949102018447305
380,0.1943158162337034
385,0.1937214306226763
390,0.1931270450116493
395,0.1925326594006222
400,0.1919382737895951
405,0.191343888178568
410,0.1907495025675409
415,0.1901551169565138
420,0.1895607313454868
425,0.1889663457344597
430,0.1883719601234326
435,0.1877775745124055
440,0.1871831889013784
445,0.1865888032903513
450,0.1859944176793243
455,0.1854000320682972
460,0.1848056464572701
465,0.184211260846243
470,0.183616875235216
475,0.1830224896241889
480,0.1824281040131618
485,0.1818337184021347
490,0.1812393327911076
495,0.1806449471800806
500,0.1800505615690535
505,0.1794561759580264
510,0.1788617903469993
515,0.1782674047359722
520,0.1766191156078572
525,0.1735309830596987
530,0.1704428505115402
535,0.1673547179633817
540,0.1642665854152232
545,0.1606595211756892
550,0.157020163415294
555,0.1533808056548988
560,0.1497414478945036
565,0.1469609315232292
570,0.1447632249444045
575,0.1425655183655798
580,0.1403678117867551
585,0.1370831830934044
590,0.1337958902757248
595,0.1305085974580452
600,0.1272213046403657
605,0.1250194630885916
610,0.1231099180636152
615,0.1212003730386389
620,0.1192908280136625
625,0.1168105510908175
630,0.1140184473119117
635,0.1112263435330059
640,0.1084342397541001
645,0.1056421359751943
650,0.101573642586481
655,0.0969326689556493
660,0.0922916953248177
665,0.087650721693986
670,0.0829994979651394
675,0.0761514297943251
680,0.0693033616235107
685,0.0624552934526963
690,0.0537839181823209
695,0.0435619924540577
700,0.0333400667257944
705,0.0231181409975312
710,0.0128962152692679
715,0.0026742895410046
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
