wavelength,absorption
280,2.625039896633686
285,2.557606793945546
290,2.490173691257405
295,2.422740588569265
300,2.3553074858811254
305,2.2878743831929853
310,2.220441280504845
315,2.1530081778167047
320,2.085575075128564
325,2.018141972440424
330,1.950708869752284
335,1.883275767064144
340,1.815842664376004
345,1.7484095616878634
350,1.6809764589997234
355,1.613543356311583
360,1.5461102536234428
365,1.4786771509353027
370,1.4112440482471624
375,1.3438109455590224
380,1.276377842870882
385,1.208944740182742
390,1.1415116374946015
395,1.0740785348064614
400,1.0066454321183214
405,0.9392123294301812
410,0.9006498735116856
415,0.8667266463707927
420,0.8332924477961643
425,0.8096678380947704
430,0.7860432283933766
435,0.760782250166744
440,0.7335968674016823
445,0.7066045031294077
450,0.6813376052168051
455,0.6560707073042025
460,0.6292168326048656
465,0.5963413948797162
470,0.5634659571545666
475,0.5370055586454102
480,0.5144359223467786
485,0.4918662860481469
490,0.4685403726392412
495,0.4397137746881381
500,0.4108871767370351
505,0.3880452665716866
510,0.370426717134276
515,0.3528081676968654
520,0.3353369463999494
525,0.31802033187692
530,0.3007037173538906
535,0.2833871028308612
540,0.2695530160207421
545,0.2588316745279458
550,0.2481103330351495
555,0.2373889915423533
560,0.226667650049557
565,0.2140810225592018
570,0.2010403281938063
575,0.1880501786147184
580,0.1758266225256161
585,0.1636030664365138
590,0.1513795103474116
595,0.1391559542583093
600,0.1295508766436384
605,0.1206181903148609
610,0.1116855039860834
615,0.1027528176573059
620,0.0938201313285284
625,0.0861958795767021
630,0.0800976194607099
635,0.0739993593447176
640,0.0679010992287254
645,0.0618028391127332
650,0.0563944092755671
655,0.0514779393703279
660,0.0465614694650887
665,0.0416449995598495
670,0.0367285296546103
675,0.0318120597493711
680,0.0268955898441318
685,0.0219791199388926
690,0.0170626500336534
695,0.0139295965439309
700,0.0111935037889147
705,0.0084574110338985
710,0.0057213182788822
715,0.002985225523866
720,0.0002491327688498
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
