wavelength,absorption
280,0.403574468
285,0.394425532
290,0.385276596
295,0.37612766
300,0.366978723
305,0.357829787
310,0.348680851
315,0.339531915
320,0.330382979
325,0.321234043
330,0.312085106
335,0.30293617
340,0.293787234
345,0.284638298
350,0.275489362
355,0.266340426
360,0.257191489
365,0.248042553
370,0.238893617
375,0.229744681
380,0.220595745
385,0.211446809
390,0.202297872
395,0.193148936
400,0.184
405,0.174851064
410,0.165702128
415,0.156553191
420,0.153494572
425,0.155541802
430,0.157589031
435,0.15963626
440,0.161683489
445,0.15458123
450,0.146370218
455,0.138159206
460,0.130080849
465,0.123510127
470,0.116939405
475,0.110368683
480,0.103797961
485,0.100167816
490,0.099192671
495,0.098217525
500,0.09724238
505,0.096267235
510,0.09529209
515,0.098056905
520,0.101040944
525,0.104024983
530,0.107009022
535,0.112175397
540,0.120824548
545,0.129473699
550,0.13812285
555,0.146772001
560,0.158940051
565,0.17186275
570,0.184785449
575,0.197708148
580,0.210630847
585,0.236723436
590,0.26307955
595,0.289435664
600,0.315791778
605,0.342147892
610,0.366737817
615,0.384208165
620,0.401678512
625,0.419148859
630,0.436619206
635,0.454089553
640,0.496499285
645,0.539392457
650,0.582285628
655,0.618657539
660,0.651010979
665,0.683364419
670,0.716772152
675,0.750791139
680,0.772830189
685,0.789056604
690,0.804957385
695,0.819121341
700,0.833285297
705,0.847906643
710,0.867511253
715,0.887115862
720,0.906720472
725,0.93020362
730,0.954524887
735,0.96904726
740,0.982032312
745,0.99108989
750,0.992844706
755,0.994081354
760,0.974029701
765,0.948405783
770,0.906890218
775,0.865374653
780,0.804418565
785,0.728934749
790,0.653450933
795,0.583675565
800,0.517453799
805,0.451232033
810,0.384314492
815,0.317035009
820,0.249629207
825,0.182173417
830,0.139123362
835,0.12069155
840,0.102259738
845,0.077947386
850,0.050016239
855,0.03777911
860,0.033250154
865,0.028721198
870,0.024192242
875,0.017178658
880,0.009403055
885,0.001627452
890,0
895,0
900,0
905,0
910,0
915,0
920,0
925,0
930,0
935,0
940,0
945,0
950,0
955,0
960,0
965,0
970,0
975,0
980,0
985,0
990,0
995,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1060,0
1065,0
1070,0
1075,0
1080,0
1085,0
1090,0
1095,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1160,0
1165,0
1170,0
1175,0
1180,0
1185,0
1190,0
1195,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1260,0
1265,0
1270,0
1275,0
1280,0
1285,0
1290,0
1295,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1360,0
1365,0
1370,0
1375,0
1380,0
1385,0
1390,0
1395,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1460,0
1465,0
1470,0
1475,0
1480,0
1485,0
1490,0
1495,0
1500,0
