wavelength,absorption
280,1.0108975733921175
285,1.0089004318961672
290,1.0069032904002169
295,1.0049061489042663
300,1.0029090074083158
305,1.0009118659123657
310,0.9989147244164148
315,0.9969175829204644
320,0.994920441424514
325,0.9929232999285637
330,0.9909261584326132
335,0.986802412049473
340,0.9811415308745732
345,0.9754806496996732
350,0.9698197685247736
355,0.9641588873498737
360,0.9584980061749738
365,0.952837125000074
370,0.9471762438251742
375,0.9415153626502742
380,0.9358544814753744
385,0.9168790096631696
390,0.8954306759237615
395,0.8739823421843532
400,0.852534008444945
405,0.8310856747055368
410,0.8096373409661286
415,0.7815164890256757
420,0.7503529810915365
425,0.7191894731573971
430,0.681206224212846
435,0.6297631380086868
440,0.5783200518045276
445,0.5251770159462472
450,0.4646316023785214
455,0.4040861888107956
460,0.3723776430533916
465,0.3416149548993989
470,0.3108522667454063
475,0.2858955589060303
480,0.2609991767493742
485,0.2361027945927181
490,0.211206412436062
495,0.186310030279406
500,0.1663140564113562
505,0.1477804106128961
510,0.1292467648144361
515,0.110713119015976
520,0.0948974482902731
525,0.0857479171987927
530,0.0765983861073122
535,0.0674488550158318
540,0.0582993239243513
545,0.0491497928328709
550,0.0400002617413904
555,0.0342313940994818
560,0.0311832667482467
565,0.0281351393970115
570,0.0250870120457763
575,0.0220388846945412
580,0.018990757343306
585,0.0159426299920709
590,0.0128945026408357
595,0.0098463752896005
600,0.0071395049715127
605,0.0047002164951013
610,0.0022609280186898
615,0.0
620,0.0
625,0.0
630,0.0
635,0.0
640,0.0
645,0.0
650,0.0
655,0.0
660,0.0
665,0.0
670,0.0
675,0.0
680,0.0
685,0.0
690,0.0
695,0.0
700,0.0
705,0.0
710,0.0
715,0.0
720,0.0
725,0.0
730,0.0
735,0.0
740,0.0
745,0.0
750,0.0
755,0.0
760,0.0
765,0.0
770,0.0
775,0.0
780,0.0
785,0.0
790,0.0
795,0.0
800,0.0
805,0.0
810,0.0
815,0.0
820,0.0
825,0.0
830,0.0
835,0.0
840,0.0
845,0.0
850,0.0
855,0.0
860,0.0
865,0.0
870,0.0
875,0.0
880,0.0
885,0.0
890,0.0
895,0.0
900,0.0
905,0.0
910,0.0
915,0.0
920,0.0
925,0.0
930,0.0
935,0.0
940,0.0
945,0.0
950,0.0
955,0.0
960,0.0
965,0.0
970,0.0
975,0.0
980,0.0
985,0.0
990,0.0
995,0.0
1000,0.0
1005,0.0
1010,0.0
1015,0.0
1020,0.0
1025,0.0
1030,0.0
1035,0.0
1040,0.0
1045,0.0
1050,0.0
1055,0.0
1060,0.0
1065,0.0
1070,0.0
1075,0.0
1080,0.0
1085,0.0
1090,0.0
1095,0.0
1100,0.0
1105,0.0
1110,0.0
1115,0.0
1120,0.0
1125,0.0
1130,0.0
1135,0.0
1140,0.0
1145,0.0
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
