wavelength;spectrum
300;1.02E-03
305;1.65E-02
310;5.09E-02
315;1.36E-01
320;2.05E-01
325;2.79E-01
330;4.71E-01
335;4.64E-01
340;5.02E-01
345;4.59E-01
350;5.28E-01
355;6.11E-01
360;5.98E-01
365;6.24E-01
370;7.55E-01
375;5.89E-01
380;7.01E-01
385;6.74E-01
390;7.97E-01
395;8.08E-01
400;1.11E+00
405;1.15E+00
410;1.05E+00
415;1.23E+00
420;1.12E+00
425;1.25E+00
430;8.75E-01
435;1.25E+00
440;1.35E+00
445;1.46E+00
450;1.56E+00
455;1.52E+00
460;1.53E+00
465;1.54E+00
470;1.51E+00
475;1.62E+00
480;1.62E+00
485;1.57E+00
490;1.62E+00
495;1.65E+00
500;1.55E+00
505;1.56E+00
510;1.55E+00
515;1.53E+00
520;1.52E+00
525;1.58E+00
530;1.54E+00
535;1.55E+00
540;1.48E+00
545;1.54E+00
550;1.54E+00
555;1.56E+00
560;1.47E+00
565;1.52E+00
570;1.48E+00
575;1.48E+00
580;1.50E+00
585;1.53E+00
590;1.37E+00
595;1.43E+00
600;1.48E+00
605;1.49E+00
610;1.47E+00
615;1.47E+00
620;1.47E+00
625;1.40E+00
630;1.39E+00
635;1.45E+00
640;1.43E+00
645;1.46E+00
650;1.36E+00
655;1.35E+00
660;1.40E+00
665;1.42E+00
670;1.42E+00
675;1.40E+00
680;1.40E+00
685;1.37E+00
690;1.18E+00
695;1.27E+00
700;1.28E+00
705;1.32E+00
710;1.32E+00
715;1.26E+00
720;9.86E-01
725;1.04E+00
730;1.13E+00
735;1.22E+00
740;1.22E+00
745;1.25E+00
750;1.23E+00
755;1.24E+00
760;2.66E-01
765;6.86E-01
770;1.16E+00
775;1.18E+00
780;1.16E+00
785;1.16E+00
790;1.09E+00
795;1.09E+00
800;1.07E+00
805;1.05E+00
810;1.06E+00
815;8.95E-01
820;8.62E-01
825;9.69E-01
830;9.16E-01
835;1.00E+00
840;1.02E+00
845;1.02E+00
850;8.94E-01
855;0.913
860;0.98816
865;0.96324
870;0.96755
875;0.92687
880;0.93957
885;0.94423
890;0.92393
895;0.81357
900;0.7426
