Luminophore;min;max
Ahmed et al., 2016_Lumogen Yellow;0.20573743134329125;12.563166024741202
Albano et al., 2020_15;2.0244465099768036;1000000.0
Ali et al., 2023_Ag(i)-CdSe;0.3711671819475765;1.8461469463245477
Anand et al., 2022_CuInS2;0.012024861420374122;0.8829699955494087
Bagherzadeh-Khajehmarjan et al., 2019_CH3NH3PbBr3;0.04291732378422158;2.9817722900196735
Banal et al., 2014_Aggregation-Induced;163.0092360979741;1000000.0
Banal et al., 2015_gem-Pyrene Ethene;0.5078152112327673;1000000.0
Bartolini et al., 2023_BDT-H2;0.03023294684405778;0.5268921421350674
Batchelder et al., 1981_DCM;0.043716022482485045;0.8354528058382867
Bergren et al., 2018_CuInS2-ZnS;14.831025143361044;1695.2323415541214
Bomm et al., 2011_CdSe-CdS-CdZnS-ZnS;0.10991097009294973;4.079534503452449
Chen et al., 2008_CdSe-CdS;0.29749075472144404;13.524808704178755
Chen et al., 2017_AgInS_ZnS;0.9505565920101197;30.442722120643026
Chen et al., 2022_Cu4I6(pr-ted)2;2.5728259674479323;1000000.0
Choi et al., 2021_Zn-CuGaSZnS;1.8124175473742377;188.91927762076645
Currie et al., 2008_Pt(TPBP);0.0719211887222119;2.8738126918510662
Davis et al., 2017_F3B;0.12505385872903907;3.4557199367621396
Desmet et al., 2012_perylene-perinone;0.023789010410788933;1.1643031329208768
Edelenbosch et al, 2013_Lumogen Red f305;0.051607487103859075;1.2767507043192659
Erickson et al., 2014_Mn2+ ZnSe-ZnS;0.2473964100886813;160.03103137387018
Freitas et al., 2015_EuCl H20tta;0.399578030189527;1000000.0
Frias et al., 2018_dU6-chl-2;2.2199661191199547;34.00411932703706
Goldschmidt et al., 2009_BA241;0.12505385872903907;2.769761935036891
Gong et al., 2018_C-Dot;1.6527920614648957;185.46769230846976
Gong et al., 2022_Si-C-dots;0.14493095741262166;4.996877453854884
Gordon et al., 2022_InP-ZnS-Rhod;0.22148552337263594;3.9318287557057703
Gordon et al., 2023_CdSe-CdSe tetrapods;0.5366976945540476;2.5728259674479323
Graffion et al., 2011_M6-'Eu;4.727969591600391;268.1812609453013
Graffion et al., 2012_M4-Eu;7.636298261282241;76.53919388230148
Huang et al., 2018_Zn-AuNCs;0.16188596901781985;5.379361503980703
Iasilli et al., 2019_SilaFluo;0.01;0.023789010410788933
Jing et al., 2023_Pyramidal InP-ZnSe;0.326222200971167;20.29118018046678
Jurek et al., 2023_Macrocyclic-2b;278.2559402207126;1000000.0
Kerrouche et al., 2014_Orange 240;0.11403996019700324;4.996877453854884
Kerrouche et al., 2014_Violet 570;0.33229325163989715;1000000.0
Kerrouche et al., 2014_Yellow 170;0.08809371904473991;3.330600343624589
Lee et al., 2023_AIGS;0.0732596542821523;10.447659715608042
Li et al., 2016_CdSe-CdZnS;0.13713147177539448;11.887076977119033
Li et al., 2020_Br-Perov-Nanoplatelete;0.01;0.06092349152400712
Li et al., 2023_Si-C-dots;0.1742774678408919;1000000.0
Liu et al., 2021_Perovskite QD;2.2199661191199547;637.9766808606282
Liu et al., 2023_Red-perov-QD;0.08033501977124735;4.727969591600391
Lucarelli et al., 2016_DPP_1c;0.0732596542821523;1.5638467583022462
