wavelength,spectrum
280,3.32449E-09
281,5.95774E-06
282,0.000250621
283,0.002727596
284,0.141641084
285,2.185167185
286,41.38543343
287,620.7320718
288,11095.17959
289,122241.7509
290,1012905.034
291,7052929.706
292,39333914.92
293,162517847.5
294,634170895.2
295,2184293048
296,7237404122
297,16813584622
298,42016195815
299,82622074847
300,1.53119E+11
301,2.91509E+11
302,4.86196E+11
303,1.04802E+12
304,1.51796E+12
305,2.43211E+12
306,2.95197E+12
307,4.32851E+12
308,5.89604E+12
309,6.42431E+12
310,8.19186E+12
311,1.2302E+13
312,1.44685E+13
313,1.65226E+13
314,1.87594E+13
315,2.0602E+13
316,2.04289E+13
317,2.68729E+13
318,2.86775E+13
319,3.16164E+13
320,3.42108E+13
321,3.96875E+13
322,3.63281E+13
323,3.6116E+13
324,4.40112E+13
325,4.74581E+13
326,6.1053E+13
327,6.51475E+13
328,6.00249E+13
329,6.95184E+13
330,7.61216E+13
331,6.86088E+13
332,7.20314E+13
333,7.12013E+13
334,7.04909E+13
335,7.67694E+13
336,7.01946E+13
337,6.46814E+13
338,7.30781E+13
339,7.89225E+13
340,8.43297E+13
341,8.17899E+13
342,8.38794E+13
343,8.70151E+13
344,7.44619E+13
345,7.83667E+13
346,8.37725E+13
347,8.49312E+13
348,8.33814E+13
349,8.28309E+13
350,9.22246E+13
351,9.69028E+13
352,9.07151E+13
353,9.31039E+13
354,1.0628E+14
355,1.08009E+14
356,9.89996E+13
357,8.48194E+13
358,7.73122E+13
359,8.57009E+13
360,1.05047E+14
361,9.58042E+13
362,9.82095E+13
363,1.08069E+14
364,1.09557E+14
365,1.16009E+14
366,1.32761E+14
367,1.33078E+14
368,1.2497E+14
369,1.29301E+14
370,1.36353E+14
371,1.29769E+14
372,1.26563E+14
373,1.14048E+14
374,1.04287E+14
375,1.12113E+14
376,1.25701E+14
377,1.36277E+14
378,1.58413E+14
379,1.42101E+14
380,1.34398E+14
381,1.41796E+14
382,1.13485E+14
383,8.92625E+13
384,9.98313E+13
385,1.25804E+14
386,1.22538E+14
387,1.25776E+14
388,1.23856E+14
389,1.34744E+14
390,1.54466E+14
391,1.65238E+14
392,1.53236E+14
393,9.8711E+13
394,1.01589E+14
395,1.56496E+14
396,1.45187E+14
397,1.01214E+14
398,1.66595E+14
399,2.12781E+14
400,2.24131E+14
401,2.3377E+14
402,2.40673E+14
403,2.3671E+14
404,2.38568E+14
405,2.34319E+14
406,2.29025E+14
407,2.2703E+14
408,2.36825E+14
409,2.46407E+14
410,2.2432E+14
411,2.40634E+14
412,2.53915E+14
413,2.48298E+14
414,2.47076E+14
415,2.5472E+14
416,2.61874E+14
417,2.57259E+14
418,2.48938E+14
419,2.53222E+14
420,2.43262E+14
421,2.64492E+14
422,2.64855E+14
423,2.58566E+14
424,2.59177E+14
425,2.65134E+14
426,2.59328E+14
427,2.52687E+14
428,2.51394E+14
429,2.31802E+14
430,1.92374E+14
431,1.88214E+14
432,2.70099E+14
433,2.67674E+14
434,2.52462E+14
435,2.71646E+14
436,2.95851E+14
437,3.00102E+14
438,2.72142E+14
439,2.64757E+14
440,2.93308E+14
441,2.98134E+14
